restaurant,count
Mugaritz,17
Arpège,17
Le Calandre,17
Le Bernardin,17
Arzak,16
Steirereck,14
Asador Etxebarri,14
The French Laundry,13
El Celler de Can Roca,13
Narisawa,13
Noma,13
Alinea,13
Pujol,12
D.O.M.,12
The Fat Duck,11
Schloss Schauenstein,11
Per Se,11
L'Astrance,11
Daniel,11
Pierre Gagnaire,10
L'Atelier Saint Germain De Joël Robuchon,10
Vendôme,10
Osteria Francescana,10
Piazza Duomo,10
Geranium,9
Eleven Madison Park,9
El Bulli,9
Mirazur,9
Central,9
St John,9
Tetsuya's,9
Hof van Cleve,9
Dal Pescatore,8
Alain Ducasse au Plaza Athénée,8
The Ledbury,8
Astrid y Gastón,8
Oud Sluis,8
Septime,8
Quintonil,8
Boragó,8
Maido,8
Dinner by Heston Blumenthal,7
Le Louis XV,7
Restaurant Gordon Ramsay,7
Nobu,7
Charlie Trotter's,7
Le Chateaubriand,7
Chez Panisse,7
Azurmendi,7
Jean Georges,7
Nahm,7
De Librije,7
The Clove Club,7
Nihonryori Ryugin,7
Restaurant Tim Raue,7
Quique Dacosta,7
Le Quartier Français,7
Rockpool,7
Amber,7
Chez Dominique,6
Martin Berasategui,6
Hakkasan,6
Bras,6
Ultraviolet by Paul Pairet,6
White Rabbit,6
Aqua,6
Gaggan,6
Biko,6
Den,6
Attica,6
The Test Kitchen,5
Le Gavroche,5
Fäviken,5
Odette,5
Troisgros,5
Blue Hill at Stone Barns,5
Disfrutar,5
Tickets,5
Die Schwarzaldstube,5
Can Fabes,5
Combal Zero,5
Quay,5
Hiša Franko,5
Restaurant André,5
Gambero Rosso,5
Oaxen Krog,5
Bukhara,5
Enoteca Pinchiorri,5
Gramercy Tavern,5
Reale,5
Elkano,4
Frantzén,4
Iggy's,4
Momofuku Ssäm Bar,4
Don Julio,4
Restaurant Frantzén,4
Hof Van Cleve,4
Le Cinq,4
Cosme,4
Alléno Paris au Pavillon Ledoyen,4
River Café,4
A Casa do Porco,4
L'Auberge de l'Ill,4
Leo,4
The Chairman,4
The Ivy,4
L'Ambroisie,4
Flower Drum,4
Felix,4
Belcanto,4
Nobelhart & Schmutzig,3
Atomix,3
Ristorante Cracco,3
Tantris,3
L'Hotel de Ville - Philippe Rochat,3
Les Ambassadeurs,3
De Karmeliet,3
Maní,3
Lyle's,3
Vila Joya,3
Florilège,3
The Merchant House,3
Al Mahara,3
Relae,3
Saison,3
Guy Savoy,3
Il Canto,3
The Cliff,3
Lido 84,3
Le Meurice,3
La Colombe,3
SingleThread,2
Sukiyabashi Jiro,2
Maaemo,2
Waku Ghin,2
Le Jardin des Sens,2
The Three Chimneys,2
La Tupina,2
Benu,2
Operakällaren,2
Bras Restaurant,2
Sühring,2
The Wolseley,2
Twins Garden,2
Dieter Mueller,2
Eigensinn Farm,2
Manresa,2
WD~50,2
1884,2
Masa,2
Alain Ducasse,2
Michel Bras,2
Ikoyi,2
Atelier Crenn,2
The Waterside Inn,2
Comme Chez Soi,2
Alchemist,2
Uliassi,2
Mathias Dhalgren,2
Bagatelle,2
Diverxo,2
Carnivore,2
Le Manoir aux Quat'Saisons,2
The Jane,2
Maison Troisgros,2
Bocuse,2
Checchino Dal 1887,2
The Square,2
Mayta,2
Hibiscus,2
Wolfgat,1
Sézanne,1
Plénitude,1
DiverXO,1
Burnt Ends,1
La Grenouillère,1
Brae,1
Orfali Bros Bistro,1
Fyn,1
El Chato,1
Kjolle,1
Sorn,1
La Cime,1
St. Hubertus,1
D.O.M,1
Oteque,1
Central ,1
Nerua Guggenheim Bilbao,1
Table by Bruno Verjus,1
Trèsind Studio,1
Le Clarence,1
Le Du,1
Mikla,1
Gaggan Anand,1
Tegui,1
Jordnær,1
Kol,1
Taillevent,1
Estela,1
Moulin de Mougin,1
Vincent Guerithault on Camelback,1
Paul Boscoe,1
Gidleigh Park,1
Bocca,1
Susar,1
The Grundel,1
Bayona,1
Blue Lagoon,1
The Supper Club,1
Roundwood House,1
Changa,1
Ginza Sushiko,1
Hotel de Paris,1
Le Manoir aux Quat'Saison,1
The Spa,1
Nepenthe,1
Il Pescatore,1
Kronenhalle,1
Chez Vroney,1
The Lone Star,1
Alle Testiere,1
Little Washington,1
Vong,1
La Coupole,1
Tangerine,1
Spoon des Iles,1
Thorton's,1
Petrus,1
Coi,1
Spice Market,1
Martín Berasategui,1
Mr and Mrs Bund,1
Combal.Zero,1
8 1/2 Otto e Mezzo Bombana,1
Frantzén/Lindeberg,1
Mathias Dahlgren,1
Varvary,1
Restaurant de l'Hotel de Ville ,1
Jaan Par Andre,1
Le Quartier Francais,1
Cracco Peck,1
Yauatcha,1
Cal Pep,1
Quattro Passi,1
The Connaught,1
L'Hotel de Ville,1
Sketch,1
Tom Aikens,1
Gambero Roso,1
Le Maison de Marc Veyrat,1
La Tour D'Argent,1
Craft,1
Balthazar,1
Spago,1
L'Ami Louis,1
New York Grill,1
Rosetta,1
